iter	Passed	Remaining
0	1	111
1	2	124
2	3	108
3	3	94
4	4	88
5	5	85
6	6	83
7	7	81
8	7	79
9	8	80
10	9	78
11	10	77
12	11	75
13	11	73
14	12	71
15	13	69
16	13	68
17	14	66
18	15	64
19	15	62
20	16	61
21	16	59
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	51
28	20	50
29	21	49
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	43
36	25	42
37	25	42
38	26	41
39	27	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	30	34
47	31	34
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	17
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	49	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	60	0
99	61	0
